area_sqft,bedrooms,bathrooms,balconies,age_years,floor,total_floors,parking,location,furnishing,property_type,price
3380,5,3,0,16,15,19,0,Nagpur,Unfurnished,Independent House,23346567.79
2882,4,3,0,2,19,19,2,Hyderabad,Furnished,Independent House,27696148.67
1942,1,4,2,0,18,29,1,Nagpur,Semi-Furnished,Apartment,15987489.25
3844,5,4,2,2,17,27,2,Bangalore,Furnished,Apartment,38708208.12
3828,4,3,0,15,17,29,0,Delhi,Furnished,Apartment,29455222.39
3549,2,4,1,29,0,3,0,Mumbai,Unfurnished,Apartment,18787130.52
4099,2,2,1,10,19,23,2,Delhi,Unfurnished,Villa,42879640.82
2334,3,3,3,26,1,13,0,Mumbai,Unfurnished,Independent House,25798796.77
4027,3,4,1,19,13,30,2,Bangalore,Unfurnished,Independent House,24063512.3
3985,2,4,1,14,11,25,0,Chennai,Semi-Furnished,Apartment,36870290.62
4722,2,3,1,4,19,28,1,Delhi,Semi-Furnished,Independent House,49754722.62
2371,3,4,0,24,0,19,2,Mumbai,Semi-Furnished,Independent House,20488694.98
1912,4,3,2,6,17,30,0,Mumbai,Semi-Furnished,Apartment,15931032.88
3616,5,2,0,12,3,10,2,Bangalore,Unfurnished,Apartment,32930220.76
3343,1,2,1,13,9,26,2,Chennai,Semi-Furnished,Apartment,31740999.59
3551,5,1,2,22,8,15,2,Chennai,Unfurnished,Apartment,13532806.11
1229,5,2,2,15,15,28,2,Pune,Unfurnished,Independent House,10731770.37
4755,4,1,1,21,16,22,2,Delhi,Furnished,Independent House,42027232.36
2193,1,1,1,16,8,10,0,Hyderabad,Semi-Furnished,Apartment,10719734.65
1503,3,3,2,25,16,22,2,Mumbai,Unfurnished,Apartment,12057234.5
3816,5,3,3,16,13,18,0,Delhi,Semi-Furnished,Independent House,33697209.05
4694,5,1,2,10,20,25,1,Nagpur,Semi-Furnished,Apartment,35697253.18
628,1,1,0,22,16,17,0,Delhi,Semi-Furnished,Apartment,6049400.65
1223,3,2,2,9,9,20,2,Hyderabad,Semi-Furnished,Villa,10193105.57
1477,5,2,3,26,17,19,1,Pune,Semi-Furnished,Apartment,11720009.15
3341,3,2,2,10,12,18,2,Pune,Unfurnished,Villa,19266942.9
3476,2,3,3,30,16,18,0,Mumbai,Furnished,Apartment,33986186.72
4385,3,1,0,3,11,20,2,Mumbai,Semi-Furnished,Apartment,26930414.08
2000,2,1,2,28,8,20,0,Bangalore,Semi-Furnished,Villa,11657566.54
4025,2,4,2,6,3,28,2,Mumbai,Furnished,Independent House,50302127.58
4563,4,2,0,14,0,28,0,Mumbai,Furnished,Apartment,29164148.83
2003,1,1,2,28,0,8,0,Delhi,Unfurnished,Apartment,16380456.23
3956,3,4,2,23,13,27,0,Delhi,Unfurnished,Apartment,35915589.97
2064,1,3,1,16,3,20,1,Hyderabad,Semi-Furnished,Independent House,18383540.34
1057,1,2,0,24,2,20,1,Bangalore,Semi-Furnished,Apartment,7551822.45
2457,1,2,2,22,19,29,1,Chennai,Furnished,Apartment,21059159.22
4159,5,4,2,3,16,24,1,Mumbai,Semi-Furnished,Apartment,60743528.26
4015,5,3,2,12,6,15,1,Chennai,Furnished,Apartment,35474785.71
3127,1,1,1,29,7,24,1,Chennai,Unfurnished,Apartment,14989192.86
4219,3,4,2,19,2,23,0,Bangalore,Furnished,Apartment,49719396.68
2201,1,2,3,28,12,23,0,Mumbai,Unfurnished,Apartment,19040433.38
4861,3,2,0,5,12,28,0,Chennai,Unfurnished,Apartment,45478400.4
4338,5,1,3,28,16,22,2,Mumbai,Unfurnished,Apartment,22029640.67
669,4,2,1,30,1,9,2,Bangalore,Unfurnished,Apartment,3007552.77
2562,1,2,2,30,17,26,0,Hyderabad,Semi-Furnished,Apartment,17238038.91
4373,1,2,1,3,9,16,2,Chennai,Unfurnished,Apartment,21035902.51
567,2,3,2,21,12,16,1,Delhi,Unfurnished,Apartment,4327251.03
3035,5,4,2,21,17,25,1,Mumbai,Unfurnished,Independent House,31581866.63
1198,5,3,2,29,8,19,1,Chennai,Furnished,Independent House,13975475.77
1853,2,3,3,6,1,30,2,Delhi,Furnished,Apartment,17497768.05
2023,4,4,1,9,15,17,0,Hyderabad,Unfurnished,Apartment,19386140.69
2321,1,4,3,22,4,11,0,Pune,Unfurnished,Independent House,18248798.73
4223,5,1,3,26,7,11,2,Bangalore,Unfurnished,Apartment,36496941.16
2100,5,2,1,4,1,7,0,Delhi,Furnished,Independent House,27128015.53
2005,1,1,2,11,0,28,1,Mumbai,Semi-Furnished,Independent House,15097340.91
1280,2,4,0,16,16,26,2,Mumbai,Unfurnished,Apartment,15775311.13
2280,3,2,3,26,17,26,1,Nagpur,Unfurnished,Apartment,13170095.12
1871,5,4,0,19,15,21,0,Chennai,Unfurnished,Apartment,13797928.16
4237,3,3,3,0,17,27,1,Chennai,Unfurnished,Independent House,28305168.88
3629,2,1,1,0,8,9,2,Delhi,Semi-Furnished,Apartment,38200137.57
4454,4,2,0,13,6,20,1,Nagpur,Furnished,Independent House,34953429.5
2113,5,4,3,3,5,18,0,Delhi,Unfurnished,Apartment,12923089.45
448,4,3,1,14,8,25,0,Pune,Unfurnished,Independent House,2993088.15
3240,4,1,3,5,9,9,2,Hyderabad,Furnished,Apartment,32378831.13
4417,5,3,2,17,6,25,2,Delhi,Semi-Furnished,Apartment,27113565.1
4958,4,3,0,6,9,17,2,Bangalore,Unfurnished,Apartment,47427398.65
1831,2,4,1,8,0,8,1,Bangalore,Semi-Furnished,Independent House,18381009.63
2567,4,3,0,8,0,24,1,Mumbai,Unfurnished,Apartment,27818850.49
2584,1,1,0,19,2,27,0,Bangalore,Semi-Furnished,Apartment,14149834.95
3932,3,3,0,25,12,19,2,Nagpur,Semi-Furnished,Apartment,22936628.95
2531,1,2,2,21,13,18,0,Pune,Unfurnished,Apartment,13314638.76
3617,3,4,2,12,1,12,0,Chennai,Semi-Furnished,Independent House,25832004.69
4882,1,3,3,13,3,5,0,Hyderabad,Unfurnished,Villa,43641263.6
2655,2,1,3,20,14,16,2,Mumbai,Unfurnished,Apartment,19980179.5
4133,1,4,3,19,17,18,2,Pune,Furnished,Apartment,26952586.63
1581,5,3,2,25,0,8,1,Mumbai,Furnished,Independent House,21281636.83
3452,5,2,3,9,1,1,1,Mumbai,Unfurnished,Independent House,44048557.25
1307,4,3,3,15,16,28,2,Mumbai,Unfurnished,Apartment,10848596.73
3854,1,4,0,27,0,4,0,Bangalore,Semi-Furnished,Independent House,39195192.61
4729,2,2,3,7,6,16,0,Bangalore,Semi-Furnished,Apartment,42936415.66
1976,5,3,1,24,18,22,1,Hyderabad,Semi-Furnished,Apartment,18331091.63
2691,4,2,0,6,10,22,2,Pune,Furnished,Independent House,35030117.39
1436,5,3,0,19,4,26,2,Nagpur,Furnished,Apartment,7384733.22
3049,5,4,0,5,17,27,0,Hyderabad,Unfurnished,Apartment,18542608.71
3922,3,4,0,21,18,18,0,Delhi,Unfurnished,Independent House,31171964.82
2293,2,3,3,15,11,27,0,Pune,Furnished,Apartment,15818435.99
2590,3,2,0,3,10,19,0,Chennai,Semi-Furnished,Independent House,15558352.97
4802,5,1,0,21,14,15,1,Nagpur,Furnished,Apartment,18720757.07
2340,4,2,1,13,4,24,2,Hyderabad,Semi-Furnished,Apartment,16069354.59
1144,5,4,0,7,6,16,0,Delhi,Unfurnished,Villa,14764870.08
4378,1,3,0,19,20,28,2,Nagpur,Semi-Furnished,Apartment,22082764.15
3638,5,4,1,1,16,23,2,Hyderabad,Unfurnished,Apartment,24962577.63
2711,4,3,2,19,8,26,2,Bangalore,Unfurnished,Independent House,17580128.07
3939,2,4,1,11,9,11,1,Mumbai,Unfurnished,Independent House,43034009.8
2917,2,3,2,11,5,5,0,Mumbai,Semi-Furnished,Apartment,41481832.9
2215,2,2,2,24,15,27,1,Bangalore,Unfurnished,Apartment,13222728.31
2436,4,1,3,29,18,20,1,Pune,Furnished,Apartment,22154800.97
3873,5,4,3,1,16,26,1,Hyderabad,Semi-Furnished,Apartment,38877115.04
4885,4,3,0,24,11,18,2,Mumbai,Furnished,Apartment,49611811.18
1155,2,1,0,30,14,28,1,Nagpur,Semi-Furnished,Apartment,6003693.69
1451,2,1,2,29,7,7,0,Delhi,Unfurnished,Independent House,10289802.09
3822,1,4,1,21,18,27,1,Nagpur,Unfurnished,Apartment,22162471.71
2467,3,3,0,22,13,14,2,Chennai,Semi-Furnished,Independent House,21302023.59
872,1,2,2,6,19,30,1,Delhi,Unfurnished,Independent House,8111041.36
4541,4,1,0,8,13,19,0,Pune,Unfurnished,Apartment,41317088.27
1587,4,4,2,25,2,16,0,Hyderabad,Semi-Furnished,Apartment,7692777.87
4518,3,2,0,7,18,27,0,Delhi,Furnished,Apartment,52729571.1
928,4,4,1,8,12,28,2,Delhi,Unfurnished,Apartment,11170925.92
3147,4,1,3,22,18,24,0,Nagpur,Semi-Furnished,Apartment,12441655.12
1731,2,2,1,10,11,16,0,Pune,Furnished,Apartment,15233111.61
2429,3,1,3,27,11,15,2,Delhi,Semi-Furnished,Independent House,19385072.79
1610,3,1,0,0,6,29,2,Mumbai,Unfurnished,Apartment,15487747.79
750,5,2,2,20,13,21,1,Bangalore,Unfurnished,Apartment,8592523.51
3063,4,2,2,26,19,24,0,Mumbai,Semi-Furnished,Apartment,36797270.97
2249,5,2,1,27,17,17,0,Bangalore,Furnished,Independent House,15121374.72
1384,4,3,2,29,0,7,1,Pune,Furnished,Apartment,9416161.63
1409,2,3,3,9,6,10,0,Bangalore,Furnished,Villa,17772539.23
4156,5,1,0,5,6,18,0,Mumbai,Furnished,Villa,41164326.17
1608,4,3,3,19,16,27,1,Pune,Semi-Furnished,Apartment,14012473.66
3933,1,2,3,28,18,28,2,Pune,Semi-Furnished,Villa,24849124.36
4843,5,2,3,13,5,10,0,Nagpur,Semi-Furnished,Apartment,29914863.39
2102,3,3,3,13,3,3,0,Bangalore,Unfurnished,Apartment,21935964.89
955,2,3,3,6,2,17,2,Delhi,Semi-Furnished,Apartment,6548381.88
1470,5,4,2,5,9,18,2,Pune,Unfurnished,Apartment,16137075.11
3969,1,2,3,18,5,23,0,Chennai,Unfurnished,Independent House,18141081.61
3047,4,1,2,7,18,27,2,Bangalore,Unfurnished,Apartment,36011269.81
3798,1,3,3,16,3,14,2,Nagpur,Unfurnished,Independent House,27158199.5
1830,3,1,0,26,1,5,2,Hyderabad,Unfurnished,Apartment,12576696.4
1355,1,3,3,7,9,25,2,Nagpur,Unfurnished,Apartment,10313824.86
2912,3,1,1,27,1,25,1,Mumbai,Semi-Furnished,Apartment,30081597.04
2475,4,2,2,25,19,26,1,Delhi,Furnished,Apartment,16773526.92
2801,3,4,3,0,16,20,2,Pune,Unfurnished,Independent House,33846489.07
889,1,4,3,19,1,20,1,Nagpur,Unfurnished,Apartment,4179417.18
694,4,2,0,23,19,24,1,Bangalore,Unfurnished,Villa,8661661.0
2442,5,2,2,27,11,15,1,Delhi,Semi-Furnished,Apartment,20303252.16
1192,2,4,1,13,5,16,1,Bangalore,Semi-Furnished,Villa,20443630.89
1460,3,3,0,14,4,13,1,Pune,Semi-Furnished,Apartment,11718871.66
4024,2,3,0,0,2,26,1,Mumbai,Semi-Furnished,Apartment,52904148.03
1385,1,3,2,21,20,30,0,Mumbai,Unfurnished,Apartment,16790580.15
3500,3,2,0,3,5,12,1,Chennai,Semi-Furnished,Apartment,28506496.07
3470,2,3,1,20,0,12,1,Mumbai,Furnished,Apartment,40221711.71
3876,1,1,1,5,10,15,2,Pune,Unfurnished,Apartment,18797473.43
3648,1,3,1,27,3,23,0,Chennai,Unfurnished,Apartment,13702987.86
2295,2,2,0,8,18,18,0,Mumbai,Furnished,Apartment,26098524.88
2461,5,3,2,18,20,29,1,Chennai,Furnished,Apartment,15209536.84
4629,4,2,1,17,1,3,0,Chennai,Furnished,Apartment,21376095.71
510,5,1,1,7,2,23,0,Bangalore,Unfurnished,Apartment,6130678.6
2088,2,4,3,18,8,9,1,Delhi,Furnished,Independent House,15039958.1
3983,2,3,3,12,2,3,0,Delhi,Furnished,Apartment,35386247.8
1226,5,1,0,1,12,20,2,Nagpur,Unfurnished,Independent House,7424953.65
3308,1,2,2,16,17,21,1,Chennai,Unfurnished,Apartment,14200201.04
908,5,1,2,5,7,29,2,Nagpur,Furnished,Apartment,6709560.2
426,2,3,0,16,0,18,2,Delhi,Unfurnished,Independent House,5650592.81
2477,5,3,1,1,15,24,1,Hyderabad,Furnished,Apartment,26334582.03
4239,1,1,0,19,1,30,1,Bangalore,Furnished,Independent House,54953111.68
3963,4,2,3,3,19,30,2,Mumbai,Unfurnished,Apartment,37395645.86
2918,2,1,2,26,5,8,2,Mumbai,Semi-Furnished,Independent House,18864590.6
4101,1,1,0,27,19,30,0,Bangalore,Unfurnished,Apartment,19368324.4
980,3,3,1,23,8,12,2,Bangalore,Unfurnished,Apartment,6431415.31
1657,2,3,2,1,18,29,2,Mumbai,Unfurnished,Apartment,15330181.69
2415,2,2,3,19,4,11,1,Delhi,Unfurnished,Apartment,17852488.35
1752,5,4,1,25,1,5,1,Mumbai,Furnished,Apartment,13627123.69
4311,2,3,3,25,3,7,0,Pune,Unfurnished,Apartment,31061468.58
4163,4,3,2,29,8,27,2,Delhi,Unfurnished,Apartment,20700210.88
3273,2,3,0,19,11,30,1,Pune,Semi-Furnished,Apartment,19192248.22
2513,5,4,1,9,2,21,2,Mumbai,Unfurnished,Apartment,23694484.42
2881,5,1,2,3,14,24,2,Delhi,Unfurnished,Apartment,34000166.84
4868,2,3,2,8,16,27,1,Nagpur,Semi-Furnished,Villa,48948813.62
539,2,1,0,19,2,22,0,Chennai,Furnished,Apartment,4215268.16
2469,2,2,3,11,10,11,2,Hyderabad,Unfurnished,Apartment,17616309.44
598,4,4,1,6,2,9,1,Delhi,Unfurnished,Independent House,4495601.06
3019,1,1,3,28,12,22,0,Mumbai,Unfurnished,Independent House,30100440.61
3450,4,2,2,19,13,29,0,Bangalore,Unfurnished,Apartment,23909030.94
1585,5,2,0,14,8,21,0,Pune,Semi-Furnished,Apartment,11082741.4
1627,2,4,3,19,16,19,1,Mumbai,Unfurnished,Apartment,9848277.51
3514,2,2,1,27,11,19,0,Mumbai,Unfurnished,Apartment,32205960.52
4887,5,4,3,2,12,28,1,Bangalore,Semi-Furnished,Independent House,73568902.3
3759,3,1,0,3,18,22,1,Delhi,Furnished,Apartment,30906794.05
4713,3,1,3,19,8,27,1,Mumbai,Furnished,Apartment,40564363.64
2670,2,2,3,12,6,19,0,Mumbai,Furnished,Apartment,23828579.27
3250,5,2,1,20,10,23,0,Pune,Unfurnished,Independent House,19457866.15
3591,1,1,3,4,10,28,2,Mumbai,Unfurnished,Independent House,27125282.99
2554,1,3,3,9,8,10,1,Bangalore,Furnished,Apartment,17561372.11
3823,5,1,0,5,20,21,2,Hyderabad,Unfurnished,Apartment,31699465.68
3092,5,4,0,14,19,21,2,Delhi,Semi-Furnished,Apartment,25451375.29
3899,4,4,1,30,2,22,2,Mumbai,Unfurnished,Apartment,25194780.36
4887,3,3,0,20,3,8,1,Bangalore,Unfurnished,Apartment,29691339.76
4387,2,3,0,15,18,26,2,Hyderabad,Furnished,Apartment,27294246.43
4876,2,1,2,21,20,20,0,Chennai,Furnished,Independent House,36244144.6
1915,2,2,2,0,5,9,1,Hyderabad,Furnished,Apartment,10904304.01
4286,5,2,2,23,5,9,1,Chennai,Semi-Furnished,Apartment,38388291.49
4978,2,4,2,20,8,8,0,Pune,Unfurnished,Apartment,17465190.95
1470,1,2,1,21,7,30,2,Bangalore,Semi-Furnished,Apartment,9285739.32
2044,5,2,1,3,13,15,2,Bangalore,Semi-Furnished,Apartment,28073203.11
4963,1,4,3,23,7,30,2,Mumbai,Unfurnished,Apartment,49171174.23
712,3,2,3,23,6,7,0,Delhi,Unfurnished,Apartment,3826787.49
2711,3,2,0,26,8,23,2,Pune,Furnished,Apartment,23007065.0
3962,1,1,1,9,6,13,2,Delhi,Unfurnished,Villa,33399200.96
3489,3,1,2,14,12,18,1,Chennai,Furnished,Apartment,17031507.54
4104,3,2,0,13,13,15,2,Delhi,Semi-Furnished,Apartment,35844187.63
3247,3,2,1,23,11,28,1,Delhi,Furnished,Apartment,22584048.59
679,4,4,0,28,10,23,1,Mumbai,Semi-Furnished,Apartment,6912287.47
4603,5,3,0,24,9,15,1,Bangalore,Semi-Furnished,Apartment,32611144.92
3397,4,4,3,24,10,22,1,Chennai,Unfurnished,Independent House,14879258.16
2960,5,1,0,22,6,8,0,Mumbai,Furnished,Independent House,24811053.47
2287,4,4,1,12,15,21,1,Bangalore,Unfurnished,Apartment,21516667.13
1150,2,1,1,16,13,25,1,Pune,Semi-Furnished,Apartment,11496756.06
2109,2,4,2,26,10,22,2,Hyderabad,Unfurnished,Independent House,8904084.18
2774,4,2,2,24,0,2,2,Mumbai,Unfurnished,Independent House,20885582.17
3444,4,1,1,24,6,14,0,Bangalore,Semi-Furnished,Apartment,20600755.18
3594,3,1,1,23,14,18,1,Pune,Unfurnished,Independent House,34778889.48
3920,1,2,1,21,1,25,0,Mumbai,Semi-Furnished,Apartment,45399572.77
3174,2,2,1,5,12,20,0,Bangalore,Semi-Furnished,Apartment,38151307.4
2962,2,3,1,2,19,26,0,Mumbai,Semi-Furnished,Apartment,32679449.46
859,5,1,0,5,3,21,1,Mumbai,Unfurnished,Apartment,6964296.88
3110,4,4,3,7,8,13,1,Pune,Unfurnished,Apartment,19783841.26
1946,3,1,1,25,4,16,0,Nagpur,Unfurnished,Apartment,8696327.81
603,4,2,1,25,11,23,1,Nagpur,Furnished,Independent House,5461498.76
1841,1,2,3,10,0,19,2,Pune,Semi-Furnished,Apartment,15920283.67
1666,1,4,3,30,20,24,0,Mumbai,Semi-Furnished,Apartment,12099153.09
4819,4,1,0,17,4,7,0,Bangalore,Semi-Furnished,Apartment,23144529.99
2652,1,4,3,23,1,28,2,Chennai,Unfurnished,Apartment,13224333.03
3964,2,3,1,3,4,11,0,Chennai,Unfurnished,Independent House,30579606.02
1911,3,3,0,3,18,28,0,Mumbai,Semi-Furnished,Apartment,19511568.19
3828,1,4,0,17,9,17,1,Bangalore,Semi-Furnished,Apartment,30948446.85
1998,3,1,3,6,19,20,1,Bangalore,Furnished,Apartment,28201363.45
770,4,1,2,21,2,14,2,Chennai,Unfurnished,Apartment,4415724.12
1606,2,3,2,25,1,10,0,Pune,Semi-Furnished,Independent House,9792142.57
2765,5,2,0,11,14,25,0,Bangalore,Furnished,Apartment,25579542.37
2626,5,4,0,29,5,27,0,Pune,Furnished,Apartment,19309249.9
1840,1,3,1,4,14,19,1,Pune,Unfurnished,Apartment,9018919.15
3064,3,4,2,0,0,1,1,Delhi,Furnished,Independent House,34922772.25
4555,3,3,3,1,0,10,1,Delhi,Furnished,Apartment,44621810.31
3930,4,1,3,27,15,21,1,Mumbai,Unfurnished,Apartment,22022481.25
4614,1,1,1,12,3,26,1,Mumbai,Furnished,Apartment,58901544.06
1530,4,3,1,22,11,17,1,Nagpur,Semi-Furnished,Apartment,6268442.27
3290,5,1,0,25,9,18,1,Hyderabad,Unfurnished,Independent House,12965069.42
2388,1,3,3,9,18,25,0,Chennai,Unfurnished,Villa,15746700.5
403,4,4,2,1,5,7,0,Delhi,Unfurnished,Apartment,5769232.9
3636,5,3,0,28,4,10,2,Pune,Semi-Furnished,Apartment,18602103.37
2052,4,1,1,15,10,21,1,Mumbai,Semi-Furnished,Apartment,22137740.94
1224,3,4,1,13,1,4,1,Bangalore,Semi-Furnished,Apartment,9662074.77
1046,2,2,3,15,19,20,0,Mumbai,Semi-Furnished,Apartment,13282510.42
984,5,2,1,28,15,20,1,Bangalore,Semi-Furnished,Independent House,8086685.28
4859,1,1,1,25,13,24,2,Mumbai,Unfurnished,Apartment,28912045.5
3296,5,4,3,29,7,11,1,Nagpur,Semi-Furnished,Apartment,11378399.77
1861,4,4,0,17,12,16,1,Pune,Semi-Furnished,Apartment,9505869.99
4988,5,2,1,10,2,14,1,Pune,Furnished,Independent House,44862167.43
4056,5,4,0,5,5,13,1,Hyderabad,Semi-Furnished,Apartment,38454069.08
2626,2,1,0,17,8,11,2,Delhi,Semi-Furnished,Apartment,17871015.23
3923,1,1,1,25,16,27,2,Mumbai,Unfurnished,Apartment,36157716.64
4580,2,3,2,21,9,24,2,Bangalore,Semi-Furnished,Apartment,27991204.04
4168,5,4,2,22,14,28,2,Hyderabad,Semi-Furnished,Apartment,21856558.33
3732,1,4,1,30,20,26,1,Mumbai,Furnished,Apartment,29130783.16
2246,5,1,3,21,3,11,1,Delhi,Semi-Furnished,Independent House,15361646.5
1495,1,1,0,10,7,24,2,Chennai,Unfurnished,Independent House,10133698.34
2558,1,1,2,13,0,8,0,Bangalore,Semi-Furnished,Villa,26785129.18
3388,1,4,3,0,3,7,2,Pune,Unfurnished,Independent House,31670188.37
1071,5,4,2,27,2,10,2,Delhi,Furnished,Villa,10703973.84
1647,2,3,0,13,14,29,0,Hyderabad,Furnished,Apartment,10574147.84
1380,1,4,0,19,18,26,0,Mumbai,Semi-Furnished,Villa,19506423.25
1885,4,4,3,21,13,25,0,Hyderabad,Unfurnished,Apartment,7478534.63
2357,2,2,3,4,14,15,1,Mumbai,Semi-Furnished,Apartment,28040669.18
1200,2,3,2,28,3,30,0,Bangalore,Unfurnished,Apartment,9283926.85
2991,3,3,0,23,19,21,0,Mumbai,Furnished,Apartment,30791419.17
3273,1,1,2,5,19,20,2,Nagpur,Unfurnished,Independent House,20355485.05
1722,5,3,2,20,10,30,0,Delhi,Semi-Furnished,Independent House,14739398.86
4840,3,2,1,6,17,28,0,Chennai,Unfurnished,Independent House,45235799.53
4592,4,4,0,10,1,22,0,Delhi,Unfurnished,Apartment,46403648.9
1705,3,1,1,25,0,9,0,Pune,Semi-Furnished,Apartment,10406492.68
1368,1,4,3,30,13,25,0,Hyderabad,Semi-Furnished,Apartment,8049807.48
419,4,4,3,18,20,30,2,Nagpur,Semi-Furnished,Apartment,4516362.62
4559,3,1,0,8,18,27,2,Hyderabad,Furnished,Apartment,29498930.6
538,3,1,1,14,7,27,1,Bangalore,Unfurnished,Apartment,5284026.15
486,1,2,1,26,1,29,1,Mumbai,Semi-Furnished,Independent House,5863632.21
3907,4,3,0,4,8,14,1,Nagpur,Furnished,Apartment,15041123.32
3169,2,4,0,23,12,30,0,Bangalore,Unfurnished,Independent House,20695731.69
1627,1,4,2,28,6,10,0,Pune,Unfurnished,Apartment,12729298.06
2274,1,2,1,18,0,15,2,Nagpur,Unfurnished,Apartment,12887987.78
572,3,3,1,5,12,23,0,Mumbai,Unfurnished,Independent House,10201093.16
2146,4,2,2,14,7,12,2,Nagpur,Semi-Furnished,Apartment,11578262.3
1985,2,2,1,22,11,23,1,Delhi,Furnished,Apartment,13728605.61
3666,1,3,1,27,16,26,2,Bangalore,Semi-Furnished,Apartment,18274308.86
3176,4,1,1,29,13,28,2,Delhi,Unfurnished,Apartment,14214129.92
805,3,4,3,21,15,21,2,Mumbai,Unfurnished,Apartment,8063220.94
784,1,4,0,26,3,24,2,Delhi,Semi-Furnished,Apartment,5289923.71
622,4,3,2,3,10,20,0,Mumbai,Semi-Furnished,Villa,14353959.21
569,4,2,0,21,10,30,2,Pune,Unfurnished,Independent House,4307630.86
2346,2,3,0,11,14,23,1,Mumbai,Furnished,Apartment,15985140.33
786,2,3,0,20,7,21,1,Nagpur,Unfurnished,Apartment,5214196.69
404,5,1,2,12,15,17,2,Mumbai,Unfurnished,Independent House,4303002.89
2910,4,4,1,14,17,19,1,Hyderabad,Unfurnished,Apartment,14894627.95
4462,5,3,0,20,1,1,0,Mumbai,Semi-Furnished,Apartment,51571590.87
2398,3,1,2,23,12,30,2,Mumbai,Unfurnished,Apartment,26250917.32
1358,2,4,1,17,0,23,0,Hyderabad,Furnished,Apartment,13027676.39
1605,1,2,2,13,4,24,1,Chennai,Semi-Furnished,Apartment,8868017.96
3935,2,4,2,19,2,9,1,Pune,Unfurnished,Independent House,23601726.26
2884,1,2,2,20,15,22,0,Bangalore,Semi-Furnished,Apartment,25513005.44
3220,5,2,2,14,10,13,1,Delhi,Unfurnished,Independent House,17010497.62
2600,5,2,3,11,1,25,0,Pune,Semi-Furnished,Apartment,25363845.82
2348,5,4,3,26,7,9,2,Mumbai,Semi-Furnished,Apartment,28921457.37
2817,5,2,1,3,20,29,1,Hyderabad,Unfurnished,Apartment,12860630.49
2280,1,2,2,9,9,23,2,Mumbai,Unfurnished,Independent House,32382790.36
3662,3,4,0,27,2,7,1,Nagpur,Unfurnished,Villa,17244204.75
4633,4,4,3,22,16,19,1,Mumbai,Unfurnished,Apartment,53905751.81
1519,4,3,3,8,0,5,2,Hyderabad,Semi-Furnished,Apartment,9702686.59
3523,3,2,0,22,13,13,1,Chennai,Furnished,Apartment,19416032.44
867,3,3,2,2,1,5,1,Mumbai,Furnished,Villa,15077781.3
2233,3,3,1,13,8,26,2,Delhi,Semi-Furnished,Apartment,21744842.21
3734,3,3,2,17,10,12,0,Pune,Semi-Furnished,Apartment,18904431.54
2506,1,3,2,30,9,11,2,Bangalore,Semi-Furnished,Apartment,22091192.96
843,4,2,2,22,15,19,0,Delhi,Unfurnished,Apartment,8300972.37
1797,5,3,1,30,19,19,2,Delhi,Semi-Furnished,Apartment,13829594.23
3392,4,1,0,11,6,29,2,Mumbai,Unfurnished,Independent House,26583798.51
1381,3,4,0,30,19,29,1,Pune,Semi-Furnished,Independent House,10777584.71
970,3,3,2,26,5,30,0,Mumbai,Unfurnished,Apartment,10719263.44
958,2,2,1,15,12,20,2,Mumbai,Unfurnished,Independent House,12011570.07
3753,3,1,3,28,10,23,0,Hyderabad,Unfurnished,Apartment,17456284.9
796,1,1,0,25,8,17,0,Nagpur,Semi-Furnished,Apartment,3672548.73
4712,3,2,1,7,2,5,2,Nagpur,Semi-Furnished,Apartment,36737341.29
1621,5,4,2,29,14,14,2,Chennai,Unfurnished,Independent House,15989141.74
1217,3,4,1,17,8,19,0,Mumbai,Unfurnished,Apartment,11441352.33
4853,2,2,0,24,12,12,1,Bangalore,Unfurnished,Apartment,46188938.32
877,1,1,3,29,15,18,0,Hyderabad,Unfurnished,Apartment,5561857.43
3450,3,4,2,29,1,18,1,Mumbai,Unfurnished,Independent House,30071937.96
3750,1,2,1,8,18,28,0,Nagpur,Unfurnished,Apartment,14069134.23
3103,3,3,1,14,3,6,0,Bangalore,Furnished,Apartment,20221412.44
2099,1,3,1,12,8,20,0,Nagpur,Unfurnished,Apartment,14358771.78
1295,2,2,3,28,13,24,2,Mumbai,Unfurnished,Apartment,12047151.57
4034,1,3,1,5,12,12,0,Pune,Unfurnished,Apartment,38016262.6
2743,1,2,1,15,5,5,2,Delhi,Furnished,Villa,19095650.99
3044,2,1,1,7,20,22,0,Delhi,Furnished,Apartment,17165510.78
3730,3,4,1,10,1,17,2,Delhi,Furnished,Villa,49538181.07
753,4,2,3,30,0,8,2,Nagpur,Semi-Furnished,Apartment,5901148.67
3076,4,3,3,20,1,3,1,Bangalore,Unfurnished,Apartment,24815427.1
2161,1,2,3,26,14,26,1,Mumbai,Semi-Furnished,Apartment,26981646.76
4475,2,3,3,7,5,7,1,Bangalore,Semi-Furnished,Independent House,37581572.43
2003,2,2,1,16,3,7,0,Delhi,Unfurnished,Apartment,12150098.67
400,3,1,1,9,11,24,2,Mumbai,Furnished,Apartment,7656127.75
703,5,4,3,6,10,12,1,Chennai,Unfurnished,Independent House,10178499.21
2227,1,4,2,6,15,26,2,Nagpur,Semi-Furnished,Apartment,16026398.15
4181,5,3,1,30,2,30,1,Bangalore,Unfurnished,Villa,41152057.36
4247,2,3,3,5,16,26,0,Chennai,Unfurnished,Apartment,27374799.26
